quadkey_z12,year,quarter,date,avg_download_mbps,avg_upload_mbps,avg_lat_ms,tests
122000322233,2019,1,2019-Q1,6.4982375,5.5963875,38.2875,840
122000322300,2019,1,2019-Q1,5.9412,4.166600000000001,67.6,26
122000322301,2019,1,2019-Q1,28.464,16.845,28.0,11
122000322302,2019,1,2019-Q1,8.218781609195403,6.682793103448276,48.91954022988506,1647
122000322303,2019,1,2019-Q1,8.162555555555556,6.330027777777778,60.379629629629626,1531
122000322312,2019,1,2019-Q1,6.791733333333333,4.716444444444444,54.55555555555556,349
122000322313,2019,1,2019-Q1,6.996377358490566,6.36066037735849,52.528301886792455,815
122000322320,2019,1,2019-Q1,7.935560000000001,7.162640000000001,36.17333333333333,3456
122000322321,2019,1,2019-Q1,6.231935185185185,5.15725,49.68518518518518,880
122000322322,2019,1,2019-Q1,8.316234375,6.134140625,51.03125,510
122000322323,2019,1,2019-Q1,4.804636363636364,6.04669696969697,50.484848484848484,222
122000322330,2019,1,2019-Q1,4.81069696969697,5.013626262626262,65.39393939393939,971
122000322331,2019,1,2019-Q1,7.1332258064516125,4.6572258064516125,84.2258064516129,218
122000322332,2019,1,2019-Q1,4.486125,4.19525,59.375,36
122000322333,2019,1,2019-Q1,10.374799999999999,7.3486,57.6,17
122000323201,2019,1,2019-Q1,3.29,1.5931666666666668,92.16666666666667,6
122000323202,2019,1,2019-Q1,4.540684210526316,3.4438947368421053,71.89473684210526,83
122000323203,2019,1,2019-Q1,10.79,7.965199999999999,76.8,42
122000323210,2019,1,2019-Q1,2.991714285714286,2.0961428571428575,46.714285714285715,13
122000323211,2019,1,2019-Q1,7.4617272727272725,7.643181818181818,68.63636363636364,66
122000323212,2019,1,2019-Q1,9.26675,5.665785714285715,50.285714285714285,152
122000323213,2019,1,2019-Q1,4.4883999999999995,5.1109333333333336,76.53333333333333,58
122000323220,2019,1,2019-Q1,3.8367222222222224,4.470944444444444,51.94444444444444,115
122000323221,2019,1,2019-Q1,4.509533333333334,4.939866666666667,62.666666666666664,205
122000323222,2019,1,2019-Q1,4.140666666666667,4.393416666666667,73.83333333333333,66
122000323223,2019,1,2019-Q1,7.307333333333333,4.146666666666667,60.833333333333336,21
122000323230,2019,1,2019-Q1,7.759444444444444,5.5664444444444445,60.111111111111114,70
122000323231,2019,1,2019-Q1,9.371666666666666,12.071,73.33333333333333,8
122000323232,2019,1,2019-Q1,3.9898461538461536,3.625,63.07692307692308,59
122000323233,2019,1,2019-Q1,5.469,5.595,34.5,16
122000323300,2019,1,2019-Q1,8.959857142857143,5.524142857142857,79.0,34
122000323301,2019,1,2019-Q1,0.1345,0.7295,60.0,4
122000323302,2019,1,2019-Q1,13.213799999999999,9.9235,44.7,14
122000323303,2019,1,2019-Q1,4.23375,4.763,45.375,18
122000323310,2019,1,2019-Q1,5.653857142857143,1.7614285714285713,84.42857142857143,55
122000323311,2019,1,2019-Q1,11.438666666666666,4.4928333333333335,36.166666666666664,8
122000323312,2019,1,2019-Q1,13.455777777777778,4.884555555555556,35.44444444444444,21
122000323313,2019,1,2019-Q1,12.2754,5.956899999999999,41.8,27
122000323320,2019,1,2019-Q1,5.950857142857143,5.079,36.42857142857143,27
122000323321,2019,1,2019-Q1,9.122375,6.4225,44.979166666666664,360
122000323322,2019,1,2019-Q1,1.5175,2.917,101.0,10
122000323323,2019,1,2019-Q1,4.792722222222222,2.865944444444444,44.611111111111114,183
122000323330,2019,1,2019-Q1,7.034081081081081,4.775810810810811,36.67567567567568,696
122000323331,2019,1,2019-Q1,9.3916875,3.5693125,41.875,38
122000323332,2019,1,2019-Q1,5.11575,1.7245,71.25,7
122000323333,2019,1,2019-Q1,9.4715,3.6985,81.75,4
122000332200,2019,1,2019-Q1,12.9725,10.6605,20.5,3
122000332201,2019,1,2019-Q1,6.3825,3.625,53.5,11
122000332202,2019,1,2019-Q1,8.345666666666666,2.8778333333333337,34.833333333333336,32
122000332203,2019,1,2019-Q1,7.769151515151515,4.026,39.696969696969695,119
122000332211,2019,1,2019-Q1,18.907,4.697,30.0,1
122000332212,2019,1,2019-Q1,22.801,10.174,23.0,2
122000332213,2019,1,2019-Q1,5.1945,3.3275,36.0,3
122000332220,2019,1,2019-Q1,9.835055555555554,4.5777777777777775,47.44444444444444,107
122000332221,2019,1,2019-Q1,4.1625,3.444,34.5,3
122000332222,2019,1,2019-Q1,12.329600000000001,5.5248,31.0,6
122000332223,2019,1,2019-Q1,6.175,0.443,31.0,1
122000332230,2019,1,2019-Q1,7.554142857142857,4.055428571428571,39.714285714285715,29
122000332231,2019,1,2019-Q1,3.561,2.348,55.5,3
122000332232,2019,1,2019-Q1,10.173166666666667,6.184166666666667,28.0,36
122000332233,2019,1,2019-Q1,1.10175,1.8825,199.25,5
122000332301,2019,1,2019-Q1,8.163,8.297,24.0,1
122000332302,2019,1,2019-Q1,1.306,0.27,42.0,3
122000332303,2019,1,2019-Q1,2.579,0.926,43.0,2
122000332310,2019,1,2019-Q1,10.016,3.158,53.0,1
122000332312,2019,1,2019-Q1,4.652333333333333,0.3453333333333333,50.0,3
122000332313,2019,1,2019-Q1,7.09,1.4075,83.5,2
122000332320,2019,1,2019-Q1,2.2285,0.9305,61.5,4
122000332321,2019,1,2019-Q1,3.67,1.07275,38.75,7
122000332322,2019,1,2019-Q1,1.0176666666666667,0.57,216.33333333333334,10
122000332323,2019,1,2019-Q1,2.845285714285714,0.9294285714285715,78.71428571428571,10
122000332331,2019,1,2019-Q1,8.8070625,5.6866875,51.0625,67
122000332332,2019,1,2019-Q1,6.228,2.7033636363636364,110.36363636363636,42
122000332333,2019,1,2019-Q1,5.685857142857143,2.161,70.0,22
122001222201,2019,1,2019-Q1,6.76551724137931,4.4815172413793105,67.06896551724138,296
122001222202,2019,1,2019-Q1,6.220666666666667,4.415666666666667,51.0,5
122001222203,2019,1,2019-Q1,5.858384615384615,4.102461538461538,58.88461538461539,172
122001222210,2019,1,2019-Q1,1.62,0.8553333333333334,70.33333333333333,9
122001222211,2019,1,2019-Q1,3.870222222222222,2.4184444444444444,60.0,22
122001222212,2019,1,2019-Q1,4.957545454545455,2.8137272727272724,77.24242424242425,125
122001222213,2019,1,2019-Q1,4.546714285714286,4.191142857142857,60.857142857142854,112
122001222220,2019,1,2019-Q1,0.471,0.753,53.0,1
122001222221,2019,1,2019-Q1,1.01,1.26,69.0,1
122001222223,2019,1,2019-Q1,6.778833333333333,1.7116666666666667,52.166666666666664,19
122001222231,2019,1,2019-Q1,5.631857142857143,1.469142857142857,71.28571428571429,11
122001222300,2019,1,2019-Q1,2.0981666666666667,1.5046666666666668,100.66666666666667,17
122001222301,2019,1,2019-Q1,3.254,1.1185,61.0,12
122001222302,2019,1,2019-Q1,1.3805,2.002,54.5,4
122001222303,2019,1,2019-Q1,2.054,1.603,81.75,13
122001222312,2019,1,2019-Q1,2.923714285714286,2.029571428571429,56.57142857142857,16
122001222313,2019,1,2019-Q1,4.79175,2.8413333333333335,79.58333333333333,198
122001222321,2019,1,2019-Q1,4.423,2.2396666666666665,48.333333333333336,31
122001222323,2019,1,2019-Q1,0.662,1.14,66.0,1
122001222331,2019,1,2019-Q1,2.0823333333333336,2.367,67.0,23
122001222332,2019,1,2019-Q1,4.923333333333333,2.1616666666666666,61.0,4
122001222333,2019,1,2019-Q1,0.64725,1.2795,78.5,6
122001223002,2019,1,2019-Q1,7.554,3.013,140.0,2
122001223020,2019,1,2019-Q1,8.786,1.755875,55.375,66
122001223021,2019,1,2019-Q1,0.894,0.534,301.0,1
122001223023,2019,1,2019-Q1,9.61275,2.9465,47.75,24
122001223030,2019,1,2019-Q1,5.140066666666667,3.0105999999999997,71.8,61
122001223032,2019,1,2019-Q1,10.989666666666666,2.8701111111111115,38.111111111111114,30
122001223200,2019,1,2019-Q1,1.324,0.822,50.0,2
122001223202,2019,1,2019-Q1,3.0145,0.7655,55.5,4
122001223203,2019,1,2019-Q1,3.4361666666666664,1.7773333333333332,180.66666666666666,24
122001223210,2019,1,2019-Q1,1.3245,0.897,57.0,2
122001223211,2019,1,2019-Q1,2.697222222222222,1.1657777777777778,66.33333333333333,41
122001223212,2019,1,2019-Q1,0.484,0.063,59.0,1
122001223213,2019,1,2019-Q1,1.317,0.6164,190.0,7
122001223220,2019,1,2019-Q1,2.663,2.131,50.0,14
122001223230,2019,1,2019-Q1,6.78525,1.7204166666666667,54.083333333333336,235
122001223231,2019,1,2019-Q1,4.84,3.0226666666666664,32.666666666666664,3
122001223233,2019,1,2019-Q1,1.261375,2.921375,53.125,13
122001223301,2019,1,2019-Q1,4.589,4.618,60.0,1
122001223303,2019,1,2019-Q1,8.248,0.289,60.0,1
122001223310,2019,1,2019-Q1,4.416636363636364,4.407515151515152,77.07575757575758,977
122001223311,2019,1,2019-Q1,5.7866060606060605,4.708030303030303,52.27272727272727,128
122001223312,2019,1,2019-Q1,4.627818181818182,2.880181818181818,50.18181818181818,32
122001223320,2019,1,2019-Q1,4.264375,1.602625,62.875,16
122001223321,2019,1,2019-Q1,8.170571428571428,3.5325714285714285,59.42857142857143,16
122001223323,2019,1,2019-Q1,9.4237,3.9781999999999997,65.8,175
122001223330,2019,1,2019-Q1,3.8434,2.2064,62.6,11
122001223331,2019,1,2019-Q1,9.774,3.507,39.0,1
122001223332,2019,1,2019-Q1,3.195,4.388,23.0,1
122001232202,2019,1,2019-Q1,7.166333333333333,6.296444444444444,83.0,29
122001232203,2019,1,2019-Q1,9.411166666666666,3.8113333333333337,131.5,42
122001232210,2019,1,2019-Q1,22.32033333333333,17.825666666666667,35.333333333333336,3
122001232212,2019,1,2019-Q1,0.707,2.482,49.0,1
